movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Betsy's Wedding,female,2,22-Jun-90,Comedy,R,"$19,740,070 ","$39,433,357 "
Arachnophobia,female,2,18-Jul-90,Thriller/Suspense,PG-13,"$53,208,180 ","$106,290,270 "
DuckTales: The Movie - Treasure of th…,male,1,3-Aug-90,Adventure,G,"$18,075,331 ","$36,107,823 "
Taking Care of Business,male,1,17-Aug-90,Comedy,R,"$20,005,435 ","$39,963,460 "
Mr. Destiny,male,1,12-Oct-90,Comedy,PG-13,"$15,379,253 ","$30,722,056 "
The Rescuers Down Under,male,1,16-Nov-90,Adventure,G,"$27,931,461 ","$55,796,728 "
3 Men and a Little Lady,male,1,21-Nov-90,Comedy,PG,"$71,609,321 ","$143,108,869 "
Green Card,male,1,25-Dec-90,Romantic Comedy,PG-13,"$29,804,169 ","$59,679,131 "
White Fang,male,1,18-Jan-91,Adventure,PG,"$34,729,091 ","$69,540,672 "
Scenes from a Mall,female,2,22-Feb-91,Comedy,,"$9,563,393 ","$19,149,495 "
Haakon Haakonsen,female,2,1-Mar-91,Adventure,PG,"$15,024,232 ","$30,084,149 "
The Marrying Man,male,1,5-Apr-91,Romantic Comedy,R,"$12,454,768 ","$24,939,118 "
Oscar,male,1,26-Apr-91,Comedy,PG,"$23,562,716 ","$47,181,395 "
One Good Cop,male,1,3-May-91,Action,R,"$11,276,846 ","$22,580,472 "
What About Bob?,male,1,17-May-91,Comedy,PG,"$63,710,000 ","$127,571,325 "
Wild Hearts Can't Be Broken,male,1,24-May-91,Drama,,"$7,300,000 ","$14,617,333 "
The Rocketeer,male,1,21-Jun-91,Action,PG,"$46,573,027 ","$93,256,673 "
The Doctor,male,1,24-Jul-91,Drama,PG-13,"$37,497,480 ","$75,084,021 "
Paradise,male,1,18-Sep-91,Drama,PG-13,"$18,634,643 ","$37,313,540 "
Deceived,male,1,27-Sep-91,Thriller/Suspense,PG-13,"$28,738,096 ","$57,544,453 "
Ernest Scared Stupid,male,1,11-Oct-91,Comedy,PG,"$14,143,280 ","$28,320,147 "
Billy Bathgate,male,1,1-Nov-91,Drama,R,"$15,565,363 ","$31,167,691 "
Beauty and the Beast,female,2,13-Nov-91,Musical,G,"$218,951,625 ","$363,017,667 "
Father of the Bride,male,1,20-Dec-91,Comedy,PG,"$89,325,780 ","$179,821,881 "
The Hand That Rocks the Cradle,female,2,10-Jan-92,Thriller/Suspense,R,"$88,036,683 ","$178,831,137 "
Medicine Man,male,1,7-Feb-92,Drama,PG-13,"$44,948,240 ","$91,304,495 "
Blame it on the Bellboy,male,1,6-Mar-92,Comedy,PG-13,"$2,891,055 ","$5,872,667 "
Noises Off...,female,2,20-Mar-92,Comedy,PG-13,"$2,280,148 ","$4,631,720 "
Straight Talk,female,2,3-Apr-92,Comedy,PG,"$21,202,099 ","$43,068,356 "
Newsies,female,2,8-Apr-92,,PG,"$2,706,352 ","$5,497,481 "
Passed Away,male,1,24-Apr-92,,PG-13,"$4,030,793 ","$8,187,848 "
Encino Man,male,1,22-May-92,Comedy,PG,"$40,057,130 ","$81,369,058 "
Sister Act,female,2,29-May-92,Comedy,PG,"$139,605,150 ","$283,583,472 "
Honey I Blew Up the Kid,male,1,17-Jul-92,Comedy,PG,"$58,662,452 ","$119,162,518 "
A Stranger Among Us,male,1,17-Jul-92,Drama,PG-13,"$12,282,994 ","$24,950,752 "
3 Ninjas,male,1,7-Aug-92,Action,PG,"$29,028,000 ","$58,965,304 "
A Gun in Betty Lou's Handbag,female,2,21-Aug-92,,PG-13,"$3,591,460 ","$7,295,423 "
Captain Ron,male,1,18-Sep-92,Comedy,PG-13,"$22,518,097 ","$45,741,576 "
Sarafina!,female,2,18-Sep-92,Drama,PG-13,"$7,306,242 ","$14,841,352 "
Innocent Blood,male,1,25-Sep-92,Horror,R,"$4,877,567 ","$9,907,922 "
The Mighty Ducks,male,1,2-Oct-92,Comedy,PG,"$50,752,337 ","$103,120,810 "
1492: Conquest of Paradise,male,1,9-Oct-92,Adventure,PG-13,"$7,099,531 ","$14,421,454 "
Consenting Adults,female,2,16-Oct-92,Drama,R,"$21,591,728 ","$43,859,823 "
Aladdin,male,1,11-Nov-92,Comedy,G,"$217,350,219 ","$441,969,178 "
The Distinguished Gentleman,male,1,4-Dec-92,Comedy,R,"$46,434,570 ","$94,349,900 "
The Muppet Christmas Carol,male,1,11-Dec-92,Comedy,G,"$27,281,507 ","$55,417,615 "
Alive,male,1,15-Jan-93,Adventure,R,"$36,299,670 ","$73,914,543 "
Aspen Extreme,female,2,22-Jan-93,Romantic Comedy,PG-13,"$7,843,388 ","$15,970,955 "
Homeward Bound: The Incredible Journey,male,1,3-Feb-93,Adventure,G,"$41,833,324 ","$85,182,343 "
The Cemetery Club,male,1,3-Feb-93,Comedy,PG-13,"$5,583,621 ","$11,369,541 "
Swing Kids,female,2,5-Mar-93,Musical,PG-13,"$5,632,086 ","$11,468,231 "
A Far Off Place,male,1,12-Mar-93,Adventure,PG,"$12,890,752 ","$26,248,558 "
Born Yesterday,male,1,26-Mar-93,Romantic Comedy,PG,"$17,760,754 ","$36,165,012 "
The Adventures of Huck Finn,male,1,2-Apr-93,Adventure,PG,"$24,103,594 ","$49,080,505 "
Bound by Honor,male,1,16-Apr-93,,R,"$4,496,583 ","$9,156,084 "
Indian Summer,female,2,23-Apr-93,Comedy,R,"$14,717,851 ","$29,968,953 "
Super Mario Bros.,male,1,28-May-93,Action,PG,"$20,844,907 ","$42,445,058 "
Guilty as Sin,male,1,4-Jun-93,Thriller/Suspense,R,"$22,622,537 ","$46,064,723 "
Life With Mikey,male,1,4-Jun-93,Comedy,PG,"$12,349,549 ","$25,146,538 "
What's Love Got to Do With It,female,2,9-Jun-93,Drama,R,"$39,100,956 ","$79,618,610 "
Son in Law,male,1,2-Jul-93,Comedy,PG-13,"$25,989,889 ","$52,921,433 "
Hocus Pocus,female,2,16-Jul-93,Comedy,PG,"$39,360,491 ","$80,147,079 "
Another Stakeout,male,1,23-Jul-93,Comedy,PG-13,"$20,107,504 ","$40,943,541 "
My Boyfriend's Back,female,2,6-Aug-93,,PG-13,"$3,218,882 ","$6,554,384 "
Father Hood,male,1,27-Aug-93,,PG-13,"$3,268,203 ","$6,654,819 "
The Joy Luck Club,female,2,8-Sep-93,Drama,R,"$32,790,064 ","$66,768,171 "
Money for Nothing,female,2,10-Sep-93,Comedy,R,"$1,044,824 ","$2,127,496 "
The Program,female,2,24-Sep-93,Action,R,"$23,042,200 ","$46,919,256 "
Cool Runnings,male,1,1-Oct-93,Comedy,PG,"$68,856,263 ","$140,392,731 "
The Nightmare Before Christmas,male,1,13-Oct-93,Musical,PG,"$50,408,318 ","$100,026,637 "
The Three Musketeers,male,1,12-Nov-93,Adventure,PG,"$53,661,805 ","$109,310,377 "
Sister Act 2 Back in the Habit,female,2,10-Dec-93,Comedy,PG,"$57,319,029 ","$116,965,668 "
Tombstone,male,1,25-Dec-93,Western,R,"$56,505,065 ","$115,781,734 "
The Air Up There,male,1,7-Jan-94,Comedy,PG,"$20,782,439 ","$42,940,186 "
Cabin Boy,male,1,7-Jan-94,Comedy,PG-13,"$3,469,493 ","$7,168,577 "
Iron Will,male,1,14-Jan-94,Drama,PG,"$20,623,071 ","$42,610,902 "
Red Rock West,male,1,28-Jan-94,,R,"$2,502,551 ","$5,170,709 "
Blank Check,male,1,11-Feb-94,Comedy,PG,"$30,573,770 ","$63,170,804 "
Angie,female,2,4-Mar-94,Comedy,R,"$9,252,349 ","$19,116,981 "
The Ref,male,1,9-Mar-94,Comedy,R,"$11,325,885 ","$23,401,275 "
D2: The Mighty Ducks,male,1,25-Mar-94,Comedy,PG,"$45,604,206 ","$94,226,333 "
Holy Matrimony,female,2,8-Apr-94,Comedy,,"$713,234 ","$1,473,665 "
White Fang 2: Myth of the White Wolf,male,1,15-Apr-94,Adventure,PG,"$8,752,399 ","$18,083,994 "
The Inkwell,male,1,22-Apr-94,Comedy,R,"$8,864,699 ","$18,316,030 "
When a Man Loves a Woman,female,2,29-Apr-94,Drama,R,"$50,021,959 ","$103,354,194 "
3 Ninjas Kick Back,male,1,6-May-94,Action,PG,"$11,744,960 ","$24,267,154 "
Renaissance Man,male,1,3-Jun-94,Comedy,PG-13,"$24,172,899 ","$49,945,474 "
The Lion King,male,1,15-Jun-94,Adventure,G,"$422,780,140 ","$761,640,898 "
I Love Trouble,male,1,29-Jun-94,Romantic Comedy,PG,"$30,806,194 ","$63,651,027 "
Angels in the Outfield,female,2,15-Jul-94,Comedy,PG,"$50,236,831 ","$103,798,152 "
In the Army Now,male,1,12-Aug-94,Comedy,PG,"$28,881,266 ","$59,673,787 "
Color of Night,male,1,19-Aug-94,Thriller/Suspense,R,"$19,750,470 ","$40,804,816 "
Camp Nowhere,male,1,26-Aug-94,Comedy,PG,"$10,442,641 ","$21,576,332 "
It's Pat,female,2,26-Aug-94,Comedy,,"$60,822 ","$125,666 "
A Simple Twist of Fate,female,2,2-Sep-94,Drama,PG-13,"$3,404,935 ","$7,035,189 "
Quiz Show,male,1,14-Sep-94,Drama,PG-13,"$24,787,282 ","$50,840,394 "
Terminal Velocity,male,1,23-Sep-94,Action,PG-13,"$16,478,900 ","$34,048,315 "
Ed Wood,male,1,30-Sep-94,Comedy,R,"$5,828,466 ","$12,042,634 "
The Puppet Masters,, ,21-Oct-94,Horror,R,"$8,579,626 ","$17,727,017 "
Squanto: A Warrior's Tale,, ,28-Oct-94,Drama,PG,"$3,319,344 ","$6,858,345 "
The Santa Clause,, ,11-Nov-94,Comedy,PG,"$144,833,357 ","$298,369,717 "
A Low Down Dirty Shame,, ,23-Nov-94,Action,R,"$29,317,886 ","$60,321,919 "
The Jungle Book,, ,25-Dec-94,Adventure,PG,"$44,342,956 ","$88,930,321 "
Houseguest,, ,6-Jan-95,Comedy,PG,"$26,325,256 ","$51,016,522 "
Bad Company,, ,20-Jan-95,Thriller/Suspense,R,"$3,523,909 ","$6,829,092 "
Miami Rhapsody,, ,27-Jan-95,Romantic Comedy,PG-13,"$5,086,578 ","$9,857,435 "
The Jerky Boys,, ,3-Feb-95,Comedy,R,"$7,555,256 ","$14,641,561 "
Heavy Weights,, ,17-Feb-95,Comedy,PG,"$17,671,310 ","$34,245,779 "
Man of the House,, ,3-Mar-95,Comedy,PG,"$40,029,009 ","$77,573,459 "
Roommates,, ,3-Mar-95,Comedy,PG,"$12,076,989 ","$23,404,369 "
Tall Tale,, ,24-Mar-95,Western,PG,"$8,247,627 ","$15,983,331 "
A Pyromaniac's Love Story,, ,28-Mar-95,Romantic Comedy,PG,"$468,240 ","$907,414 "
Jefferson in Paris,, ,31-Mar-95,Drama,PG-13,"$2,461,628 ","$4,770,461 "
Funny Bones,, ,31-Mar-95,Comedy,R,"$529,135 ","$1,025,425 "
A Goofy Movie,, ,7-Apr-95,Comedy,G,"$35,336,439 ","$68,479,579 "
While You Were Sleeping,, ,21-Apr-95,Romantic Comedy,PG,"$81,057,016 ","$157,082,900 "
Crimson Tide,, ,12-May-95,Action,R,"$91,387,195 ","$177,102,077 "
Mad Love,, ,26-May-95,Drama,PG-13,"$15,446,532 ","$29,934,306 "
Pocahontas,, ,10-Jun-95,Adventure,G,"$141,579,773 ","$274,370,957 "
Judge Dredd,, ,30-Jun-95,Action,R,"$34,687,912 ","$67,222,776 "
Operation Dumbo Drop,, ,28-Jul-95,Adventure,PG,"$24,670,346 ","$47,809,421 "
Dangerous Minds,, ,11-Aug-95,Drama,R,"$84,919,401 ","$164,552,293 "
A Kid in King Arthur's Court,, ,11-Aug-95,Adventure,PG,"$13,406,717 ","$25,981,285 "
The Tie That Binds,, ,8-Sep-95,Thriller/Suspense,R,"$5,762,795 ","$11,167,895 "
Unstrung Heroes,, ,15-Sep-95,Drama,PG,"$7,929,000 ","$15,365,850 "
The Big Green,, ,29-Sep-95,Comedy,PG,"$17,736,619 ","$34,372,339 "
Dead Presidents,, ,4-Oct-95,Drama,R,"$24,120,194 ","$46,741,467 "
The Scarlet Letter,, ,13-Oct-95,Drama,R,"$10,359,006 ","$20,075,033 "
Feast of July,, ,13-Oct-95,Drama,R,"$293,274 ","$568,342 "
